house_title,house_type,house_location,price,no_of_reviews,rating,house_detail,amenity_detail
"Cozy Separate Studio Apt In Dwtn Toronto, Parking!",Entire home,Toronto,$60 ,68 reviews,4.03,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n68 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
"2 BDR at popular Cityplace, Steps from Rogers Ctr",Entire home,Toronto,$99 ,272 reviews,4.58,"['5 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n317 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
"3 BDRM, 2 Bathroom Suite with Parking",Entire home,Toronto,$149 ,163 reviews,4.73,"['8 guests', '3 bedrooms', '4 beds', '2 baths', '\U000f0004\n163 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
3rd Floor Room in a Big Bright Apt: Great Location,Breakfast,Toronto,$62 ,130 reviews,4.78,"['2 guests', '1 bedroom', '0 beds', '1 shared bath', '\U000f0004\n350 Reviews', '\U000f0019\nVerified']","['Breakfast', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Toronto Tree Top Room,Great check-in experience,Toronto,$45 ,171 reviews,4.89,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n171 Reviews']","['Breakfast', 'Wifi', 'Laptop-friendly workspace', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
C1 Cozy studio in heart of the city,Entire home,Toronto,$95 ,280 reviews,4.66,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n747 Reviews', '\U000f0019\nVerified']","['Wifi', 'Cable TV', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Modern Downtown Studio,Entire home,Toronto,$52 ,169 reviews,4.62,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n1126 Reviews', '\U000f0019\nVerified']","['Wifi', 'Laptop-friendly workspace', 'Iron', 'Dryer', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Fully Equipt, Private Entrance Apartment",Entire home,Toronto,$63 ,38 reviews,4.68,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n38 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
Sunny Victorian home w/ free parking,Entire home,Toronto,$74 ,165 reviews,4.84,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n169 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Luxury Studio + Balcony in the Heart of Downtown,Entire home,Toronto,$80 ,112 reviews,4.7,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n112 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym', 'All hosts must meet our requirements and maintain a high overall rating.']"
