"Quality Inn & Suites, Mississauga",HOTEL,$94 CAD,,"See all 1,270 Hotels.com reviews",Good7.8,"1 room, 1 adult","['43.644717', '-79.638914']"
"Windsor Arms Hotel, Toronto",HOTEL,$455 CAD,,See all 166 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.668863', '-79.390866']"
"Pembroke Inn, Toronto",HOTEL,$98 CAD,,See all 305 Hotels.com reviews,Fair5.8,"1 room, 1 adult","['43.66032', '-79.373286']"
"Edwards Inn, Mississauga",HOTEL,,,See all 425 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.649507', '-79.704822']"
"Holiday Inn Hotel & Suites Oakville @ Bronte, Oakville",HOTEL,$110 CAD,,See all 246 Hotels.com reviews,Good6.2,"1 room, 1 adult","['43.409855', '-79.736428']"
"Radisson Hotel Toronto East, Toronto",HOTEL,,,See all 182 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.769634', '-79.322571']"
"DoubleTree by Hilton Toronto Airport, Toronto",HOTEL,$118 CAD,,"See all 1,580 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.686643', '-79.596985']"
"Sandman Signature Mississauga Hotel, Mississauga",HOTEL,$129 CAD,,,Very Good8.0,"1 room, 1 adult","['43.64355', '-79.63169']"
"Super Hotel Toronto North, Vaughan",HOTEL,,,See all 648 Hotels.com reviews,Superb9.0,"1 room, 1 adult","['43.775077', '-79.530631']"
"Four Points by Sheraton Mississauga Meadowvale, Mississauga",HOTEL,$105 CAD,,See all 512 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.600904', '-79.755616']"
"Comfort Inn Toronto Airport, Mississauga",HOTEL,$110 CAD,,See all 584 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.690909', '-79.625076']"
"Hotel Carlingview Toronto Airport, Toronto",HOTEL,$106 CAD,,"See all 1,918 Hotels.com reviews",Good6.6,"1 room, 1 adult","['43.684719', '-79.594599']"
"The Grand Hotel & Suites Toronto, Toronto",HOTEL,$197 CAD,,"See all 3,627 Hotels.com reviews",Fabulous8.8,"1 room, 1 adult","['43.65638', '-79.37409']"
"Staybridge Suites by Holiday Inn Toronto-Markham, Markham",HOTEL,$103 CAD,,See all 334 Hotels.com reviews,Fabulous8.6,"1 room, 1 adult","['43.838232', '-79.388068']"
"Howard Johnson by Wyndham Toronto Downtown West, Toronto",HOTEL,$101 CAD,,See all 249 Hotels.com reviews,Good7.0,"1 room, 1 adult","['43.639114', '-79.446263']"
"Holiday Inn Express Hotel & Suites Toronto - Mississauga, Mississauga",HOTEL,$106 CAD,,See all 318 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.644202', '-79.701554']"
"Quality Inn & Suites, Brampton",HOTEL,$90 CAD,,See all 576 Hotels.com reviews,Good6.4,"1 room, 1 adult","['43.700995', '-79.736979']"
"Crowne Plaza Toronto Airport, Toronto",HOTEL,$103 CAD,,See all 848 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.690134', '-79.584384']"
"Courtyard by Marriott Toronto Airport, Toronto",HOTEL,$149 CAD,,See all 252 Hotels.com reviews,Good7.0,"1 room, 1 adult","['43.685029', '-79.594726']"
"Days Inn by Wyndham Toronto East Lakeview, Toronto",HOTEL,$94 CAD,,See all 647 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.701317', '-79.254286']"
"Best Western Plus Travel Hotel Toronto Airport, Toronto",HOTEL,$109 CAD,,"See all 1,023 Hotels.com reviews",Fabulous8.8,"1 room, 1 adult","['43.653145', '-79.601288']"
"Holiday Inn Hotel & Suites Mississauga, Mississauga",HOTEL,$114 CAD,,See all 595 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.601737', '-79.757631']"
"Hampton Inn by Hilton Toronto-Mississauga West, Mississauga",HOTEL,$115 CAD,,See all 650 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.52484', '-79.65024']"
"Monte Carlo Inn Airport Suites, Mississauga",HOTEL,$108 CAD,,"See all 1,192 Hotels.com reviews",8.0,"1 room, 1 adult","['43.649455', '-79.704678']"
"Hilton Garden Inn Toronto/Oakville, Oakville",HOTEL,$125 CAD,,See all 410 Hotels.com reviews,Good6.2,"1 room, 1 adult","['43.502881', '-79.669657']"
"Hilton Garden Inn Toronto - Mississauga, Mississauga",HOTEL,$110 CAD,,See all 429 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.624205', '-79.673153']"
"Super 8 by Wyndham Toronto East ON, Toronto",HOTEL,$97 CAD,,See all 331 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.733016', '-79.223687']"
"Residence Inn by Marriott Toronto Markham, Markham",HOTEL,$123 CAD,,See all 233 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.842351', '-79.380476']"
"Residence Inn by Marriott Toronto Mississauga/Meadowvale, Mississauga",HOTEL,$143 CAD,,See all 238 Hotels.com reviews,Fabulous8.6,"1 room, 1 adult","['43.601247', '-79.752118']"
"Travelodge by Wyndham Richmond Hill, Richmond Hill",HOTEL,$89 CAD,,See all 452 Hotels.com reviews,Good6.6,"1 room, 1 adult","['43.888533', '-79.441254']"
"Courtyard by Marriott Toronto Markham, Markham",HOTEL,$103 CAD,,See all 559 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.842351', '-79.380476']"
"Courtyard by Marriott Toronto Mississauga/Meadowvale, Mississauga",HOTEL,$104 CAD,,See all 712 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.601247', '-79.752118']"
"Courtyard by Marriott Toronto Vaughan, Vaughan",HOTEL,$131 CAD,,See all 560 Hotels.com reviews,Superb9.0,"1 room, 1 adult","['43.787791', '-79.534144']"
"Best Western Plus Executive Inn, Toronto",HOTEL,$139 CAD,,See all 601 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.783172', '-79.237219']"
"Monte Carlo Inn Toronto West Suites, Mississauga",HOTEL,$99 CAD,,See all 284 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.619855', '-79.572391']"
"Monte Carlo Inn Oakville Suites, Oakville",HOTEL,$85 CAD,,See all 663 Hotels.com reviews,Good6.2,"1 room, 1 adult","['43.462169', '-79.682314']"
"Hilton Garden Inn Toronto/Markham, Markham",HOTEL,$105 CAD,,See all 686 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.844397', '-79.377546']"
"The SoHo Hotel & Residences, Toronto",HOTEL,$250 CAD,,See all 362 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.644667', '-79.392144']"
"Fairfield Inn by Marriott Toronto Oakville, Oakville",HOTEL,$84 CAD,,See all 184 Hotels.com reviews,Good6.2,"1 room, 1 adult","['43.50626', '-79.66268']"
"Hilton Toronto, Toronto",HOTEL,$170 CAD,,"See all 1,094 Hotels.com reviews",Fabulous8.8,"1 room, 1 adult","['43.650143', '-79.386086']"
"The Waterside Inn, Mississauga",HOTEL,$130 CAD,,See all 500 Hotels.com reviews,Good7.8,"1 room, 1 adult","['43.55139', '-79.584071']"
"Super 8 by Wyndham Ajax/Toronto On, Ajax",HOTEL,$104 CAD,,See all 454 Hotels.com reviews,Exceptional9.6,"1 room, 1 adult","['43.84291', '-79.03625']"
"Le Germain Hotel Toronto, Toronto",HOTEL,$279 CAD,,See all 289 Hotels.com reviews,Exceptional9.6,"1 room, 1 adult","['43.64579', '-79.39105']"
"Hampton Inn & Suites by Hilton Toronto Airport, Mississauga",HOTEL,$116 CAD,,"See all 1,809 Hotels.com reviews",Very Good8.4,"1 room, 1 adult","['43.688677', '-79.607465']"
"Old Mill Toronto, Toronto",HOTEL,$215 CAD,,See all 343 Hotels.com reviews,Very Good8.4,"1 room, 1 adult","['43.651169', '-79.493298']"
"Stay Inn, Toronto",HOTEL,$145 CAD,,See all 349 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.611917', '-79.543817']"
"Monte Carlo Inn Toronto - Markham, Markham",HOTEL,$94 CAD,,See all 500 Hotels.com reviews,Very Good8.2,"1 room, 1 adult","['43.85929', '-79.36127']"
"Monte Carlo Inn - Brampton Suites, Brampton",HOTEL,$91 CAD,,See all 716 Hotels.com reviews,Good6.4,"1 room, 1 adult","['43.740365', '-79.693124']"
"St Lawrence Residences And Suites, Toronto",HOTEL,$82 CAD,,See all 106 Hotels.com reviews,Good7.0,"1 room, 1 adult","['43.653286', '-79.373037']"
"Motel 6 Toronto - Brampton, Brampton",HOTEL,$90 CAD,,See all 453 Hotels.com reviews,Good6.4,"1 room, 1 adult","['43.685679', '-79.707478']"
"Motel 6 Toronto Mississauga, Mississauga",HOTEL,$86 CAD,,See all 794 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.598781', '-79.78234']"
"Fairfield Inn and Suites by Marriott Toronto Airport, Mississauga",HOTEL,$110 CAD,,See all 718 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.689254', '-79.606777']"
"Pantages Hotel Toronto Centre, Toronto",HOTEL,$140 CAD,,See all 987 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.654598', '-79.378881']"
